cz90,czname,speccode,specdesc,incper,log_incper,n_incper,agi,log_agi,n_agi
"07400","Orlando, FL","00","All Physicians",396100,12.47,6000,,,
"07500","Daytona Beach, FL","00","All Physicians",352600,12.34,1000,412700,12.54,1000
"07600","Jacksonville, FL","00","All Physicians",360400,12.42,4100,,,
"08100","Columbia, SC","00","All Physicians",376800,12.49,1900,,,
"08202","Charleston-North Charleston, SC (2)","00","All Physicians",342600,12.35,2700,,,
"08300","Greenville, SC","00","All Physicians",359900,12.49,2700,429700,12.7,2700
"08401","Augusta-Aiken, GA-SC (1)","00","All Physicians",289800,12.21,1600,347100,12.4,1600
"08800","Savannah, GA","00","All Physicians",389500,12.53,1300,,,
"09100","Atlanta, GA","00","All Physicians",381300,12.42,12000,460200,12.65,12000
"10700","Birmingham, AL","00","All Physicians",356700,12.48,3300,,,
"10900","Fort Walton Beach-Pensacola, FL","00","All Physicians",367300,12.48,1700,425500,12.67,1700
"11001","Mobile, AL (1)","00","All Physicians",386800,12.59,1200,455400,12.8,1200
"11302","Baltimore, MD-Washington, DC-MD-VA-WV (2)","00","All Physicians",334000,12.37,9300,,,
"11304","Baltimore, MD-Washington, DC-MD-VA-WV (4)","00","All Physicians",316900,12.31,16500,401300,12.58,16500
"11600","Detroit-Flint, MI","00","All Physicians",306500,12.25,15000,,,
"12200","Grand Rapids-Muskegon-Holland, MI","00","All Physicians",317400,12.36,3200,374100,12.56,3200
"12501","Dayton-Springfield, OH (1)","00","All Physicians",339600,12.42,2400,,,
"12701","Hamilton-Middletown, OH-Cincinnati, OH-KY-IN (1)","00","All Physicians",348600,12.46,5700,428700,12.7,5700
"12901","Lexington-Fayette, KY (1)","00","All Physicians",312900,12.35,2300,371000,12.54,2300
"13101","Louisville, KY-IN (1)","00","All Physicians",348300,12.46,3300,,,
"13501","Toledo, OH (1)","00","All Physicians",356500,12.5,1700,415200,12.67,1700
"13600","Benton Harbor, MI-South Bend, IN","00","All Physicians",374400,12.53,1200,427200,12.69,1200
"14100","Fort Wayne, IN","00","All Physicians",465000,12.71,1100,531800,12.84,1100
"14200","Indianapolis, IN","00","All Physicians",374000,12.5,6100,456200,12.71,6100
"14900","Gary, IN","00","All Physicians",427700,12.56,850,518600,12.77,850
"15000","Canton-Massillon, OH","00","All Physicians",339900,12.41,900,393400,12.59,900
"15200","Akron, OH","00","All Physicians",320600,12.39,7900,,,
"15900","Columbus, OH","00","All Physicians",356300,12.46,6200,,,
"16300","Pittsburgh, PA","00","All Physicians",342400,12.44,6600,,,
"16400","Youngstown-Warren, OH-Sharon, PA","00","All Physicians",337700,12.44,1000,387800,12.58,1000
"16500","Erie, PA-Jamestown, NY","00","All Physicians",337600,12.44,1100,385700,12.61,1100
"17700","Syracuse-Utica-Rome, NY","00","All Physicians",341900,12.45,2100,407700,12.66,2100
"18000","Buffalo-Niagara Falls-Rochester, NY","00","All Physicians",327500,12.39,5600,,,
"18600","Glens Falls, NY","00","All Physicians",350400,12.43,2500,458300,12.64,2500
"18800","Newburgh, NY-PA-Scranton-Wilkes-Barre-Hazleton, PA","00","All Physicians",322200,12.41,1500,386800,12.63,1500
"19000","Allentown-Bethlehem-Easton, PA","00","All Physicians",329400,12.42,2200,403500,12.65,2200
"19100","Lancaster-Reading-Harrisburg-Lebanon-Carlisle, PA","00","All Physicians",350800,12.46,2200,418600,12.67,2200
"19200","York, PA","00","All Physicians",327400,12.41,2900,402400,12.65,2900
"19300","Dutchess County, NY","00","All Physicians",374400,12.49,1700,,,
"19400","New York-Nassau-Suffolk, NY","00","All Physicians",368400,12.37,34000,,,
"19500","Monmouth-Ocean, NJ","00","All Physicians",424600,12.52,2900,504100,12.73,2900
"19600","Newark-Trenton, NJ","00","All Physicians",413000,12.49,16000,521700,12.76,16000
"19700","Philadelphia, PA-NJ-Vineland-Millville-Bridgeton, NJ","00","All Physicians",342800,12.36,19500,,,
"19800","Wilmington-Newark, DE-MD","00","All Physicians",314500,12.35,1200,402500,12.63,1200
"19901","Dover, DE (1)","00","All Physicians",352700,12.48,950,415200,12.69,950
"20100","Portland-Lewiston-Auburn, ME","00","All Physicians",283200,12.28,2300,339400,12.49,2300
"20401","Boston-Worcester-Lowell, MA-NH-Providence, RI (1)","00","All Physicians",312500,12.33,3800,,,
"20500","Barnstable-Yarmouth, MA","00","All Physicians",352700,12.38,21000,467200,12.69,21000
"20600","Manchester, NH","00","All Physicians",323600,12.4,2800,393300,12.65,2800
"20800","Springfield, MA","00","All Physicians",320500,12.39,1500,401400,12.69,1500
"20901","Hartford-New Haven-Bridgeport-Stamford, CT (1)","00","All Physicians",405200,12.51,10000,,,
"21501","Minneapolis-St. Paul, MN-WI (1)","00","All Physicians",359900,12.5,8900,,,
"22500","Appleton-Oshkosh-Neenah, WI","00","All Physicians",444700,12.7,1100,509200,12.85,1100
"23100","Madison, WI","00","All Physicians",276600,12.22,2900,345800,12.49,2900
"24000","Kenosha-Racine-Janesville-Beloit, WI","00","All Physicians",371600,12.53,700,448900,12.75,700
"24100","Milwaukee-Waukesha, WI","00","All Physicians",367200,12.5,5100,,,
"24300","Chicago, IL","00","All Physicians",344700,12.38,23500,,,
"24400","Rockford, IL","00","All Physicians",386000,12.58,850,453800,12.78,850
"24701","St. Louis, MO-IL (1)","00","All Physicians",333200,12.37,7300,,,
"27501","Des Moines, IA (1)","00","All Physicians",375200,12.54,1800,442200,12.74,1800
"28202","Omaha, NE-IA (2)","00","All Physicians",369200,12.46,2800,438200,12.66,2800
"28401","Colorado Springs, CO (1)","00","All Physicians",344600,12.42,1700,401000,12.61,1700
"28800","Fort Collins-Loveland, CO","00","All Physicians",324600,12.38,1300,371300,12.57,1300
"28900","Denver-Boulder-Longmont, CO","00","All Physicians",323000,12.32,9800,,,
"29301","Wichita, KS (1)","00","All Physicians",398500,12.43,1300,,,
"29502","Kansas City, MO-KS (2)","00","All Physicians",329500,12.4,5500,,,
"30300","Fayetteville-Springdale-Rogers, AR","00","All Physicians",369500,12.57,1000,,,
"30402","Tulsa, OK (2)","00","All Physicians",369500,12.49,2300,433100,12.68,2300
"30601","El Paso, TX-Las Cruces, NM (1)","00","All Physicians",344800,12.38,1500,410900,12.58,1500
"31201","Austin-San Marcos, TX (1)","00","All Physicians",386100,12.43,5100,,,
"31301","San Antonio, TX (1)","00","All Physicians",339100,12.36,6100,,,
"31600","Brownsville-Harlingen-San Benito, TX","00","All Physicians",413900,12.54,1300,483800,12.72,1300
"32000","Houston-Galveston-Texas City, TX","00","All Physicians",422700,12.45,14500,,,
"33000","Fort Worth-Arlington, TX","00","All Physicians",415000,12.59,4400,,,
"33100","Dallas, TX","00","All Physicians",434100,12.54,11000,,,
"33803","Oklahoma City, OK (3)","00","All Physicians",374900,12.42,3400,,,
"34701","Honolulu, HI (1)","00","All Physicians",312800,12.36,2700,386800,12.57,2700
"34901","Albuquerque, NM (1)","00","All Physicians",275000,12.26,2500,335300,12.47,2500
"35001","Phoenix-Mesa, AZ (1)","00","All Physicians",417100,12.49,10000,,,
"35100","Tucson, AZ","00","All Physicians",301500,12.25,3100,,,
"35801","Boise City, ID (1)","00","All Physicians",337000,12.38,1700,,,
"36000","Provo-Orem, UT","00","All Physicians",388900,12.58,800,,,
"36100","Salt Lake City-Ogden, UT","00","All Physicians",361100,12.48,4600,,,
"37000","Modesto-Merced, CA","00","All Physicians",371300,12.51,950,,,
"37100","Bakersfield, CA","00","All Physicians",390600,12.5,850,449300,12.69,850
"37200","Fresno-Visalia-Tulare-Parterville, CA","00","All Physicians",355000,12.48,2200,421300,12.68,2200
"37400","Sacramento, CA","00","All Physicians",337700,12.46,7200,,,
"37500","San Jose, CA","00","All Physicians",452100,12.5,6500,608500,12.85,6500
"37604","Reno, NV (4)","00","All Physicians",406400,12.56,1300,466500,12.7,1300
"37700","Santa Rosa, CA","00","All Physicians",303400,12.35,1300,,,
"37800","San Francisco-Oakland, CA","00","All Physicians",394700,12.48,17000,519100,12.77,17000
"37901","Las Vegas, NV-AZ (1)","00","All Physicians",405000,12.51,4000,,,
"38000","San Diego, CA","00","All Physicians",338600,12.4,8900,,,
"38200","Santa Barbara-Santa Maria-Lompoc, CA","00","All Physicians",377600,12.43,1500,440300,12.62,1500
"38300","Los Angeles-Long Beach, CA","00","All Physicians",378700,12.46,35500,,,
"38601","Spokane, WA (1)","00","All Physicians",337000,12.43,1900,,,
"38801","Portland-Vancouver, OR-WA (1)","00","All Physicians",299400,12.34,7400,,,
"38901","Salem-Eugene-Springfield, OR (1)","00","All Physicians",339800,12.43,2200,393400,12.62,2200
"39400","Seattle-Tacoma-Olympia, WA","00","All Physicians",330900,12.39,13500,421600,12.66,13500
"00900","Charlotte, NC","01","General Practice",277200,11.93,20,298400,11.99,20
"01400","Fayetteville, NC","01","General Practice",94260,11.21,20,104900,11.37,20
"01701","Raleigh-Durham-Chapel Hill, NC (1)","01","General Practice",176700,11.59,40,204600,11.77,40
"02000","Norfolk-Virginia Beach-Newport News, VA-NC","01","General Practice",145900,11.72,50,180200,11.93,50
"02400","Richmond-Petersburg, VA","01","General Practice",220400,11.99,20,261600,12.09,20
"03300","New Orleans, LA","01","General Practice",144900,11.45,30,159300,11.67,30
"05600","Nashville, TN","01","General Practice",211600,11.59,30,220100,11.9,30
"06700","Tampa-St. Petersburg-Clearwater, FL","01","General Practice",204100,11.62,100,231000,11.78,100
"06800","Lakeland-Winter Haven, FL","01","General Practice",151600,11.73,40,182300,11.86,40
"06900","Punta Gorda-Sarasota-Bradenton, FL","01","General Practice",176400,11.67,20,,,
"07000","Fort Lauderdale-Miami, FL","01","General Practice",182500,11.46,300,219600,11.68,300
"07100","Fort Pierce-West Palm Beach-Boca Raton, FL","01","General Practice",524200,11.81,60,572900,12.1,60
"07200","Fort Myers-Cape Coral-Naples, FL","01","General Practice",270300,12,30,321000,12.27,30
"07300","Melbourne-Titusville-Palm Bay, FL","01","General Practice",471600,11.65,20,627000,11.75,20
"07400","Orlando, FL","01","General Practice",142200,11.68,200,182300,11.78,200
"07500","Daytona Beach, FL","01","General Practice",123800,11.4,20,142500,11.6,20
"07600","Jacksonville, FL","01","General Practice",132600,11.4,60,154500,11.73,60
"08100","Columbia, SC","01","General Practice",217800,12.06,20,199800,11.14,20
"08800","Savannah, GA","01","General Practice",161400,11.58,30,186700,11.91,30
"09100","Atlanta, GA","01","General Practice",137900,11.36,60,200300,11.81,60
"10700","Birmingham, AL","01","General Practice",160300,11.76,20,189000,11.89,20
"10900","Fort Walton Beach-Pensacola, FL","01","General Practice",155900,11.61,30,194300,11.97,30
"11302","Baltimore, MD-Washington, DC-MD-VA-WV (2)","01","General Practice",188500,11.53,50,240600,11.98,50
"11304","Baltimore, MD-Washington, DC-MD-VA-WV (4)","01","General Practice",129800,11.4,200,180800,11.79,200
"11600","Detroit-Flint, MI","01","General Practice",169000,11.26,90,208000,11.47,90
"12501","Dayton-Springfield, OH (1)","01","General Practice",104700,11.29,20,111500,11.37,20
"12701","Hamilton-Middletown, OH-Cincinnati, OH-KY-IN (1)","01","General Practice",171400,11.69,30,222700,12.01,30
"13101","Louisville, KY-IN (1)","01","General Practice",158800,11.81,30,,,
"14200","Indianapolis, IN","01","General Practice",158700,11.56,30,185900,11.69,30
"15200","Akron, OH","01","General Practice",132600,11.43,40,174600,11.8,40
"15900","Columbus, OH","01","General Practice",226400,11.89,30,277700,12.06,30
"16300","Pittsburgh, PA","01","General Practice",343600,12.23,20,465800,12.54,20
"18000","Buffalo-Niagara Falls-Rochester, NY","01","General Practice",745900,11.94,20,868600,12.36,20
"19400","New York-Nassau-Suffolk, NY","01","General Practice",185900,11.36,250,249800,11.82,250
"19600","Newark-Trenton, NJ","01","General Practice",213900,11.69,90,250200,11.95,90
"19700","Philadelphia, PA-NJ-Vineland-Millville-Bridgeton, NJ","01","General Practice",198800,11.72,100,285800,12.04,100
"19800","Wilmington-Newark, DE-MD","01","General Practice",198200,11.96,20,277800,12.4,20
"20500","Barnstable-Yarmouth, MA","01","General Practice",178500,11.46,50,,,
"20901","Hartford-New Haven-Bridgeport-Stamford, CT (1)","01","General Practice",166700,11.54,30,212600,11.81,30
"21501","Minneapolis-St. Paul, MN-WI (1)","01","General Practice",157800,11.27,30,,,
"24100","Milwaukee-Waukesha, WI","01","General Practice",151700,11.44,30,187100,11.69,30
"24300","Chicago, IL","01","General Practice",235100,11.75,80,,,
"24701","St. Louis, MO-IL (1)","01","General Practice",217000,11.78,50,301100,12.22,50
"28202","Omaha, NE-IA (2)","01","General Practice",122200,11.46,20,162700,11.73,20
"28401","Colorado Springs, CO (1)","01","General Practice",116700,11.53,40,144800,11.73,40
"28800","Fort Collins-Loveland, CO","01","General Practice",118500,11.14,20,159200,11.57,20
"28900","Denver-Boulder-Longmont, CO","01","General Practice",128400,11.51,150,193900,11.93,150
"29502","Kansas City, MO-KS (2)","01","General Practice",169600,11.68,20,191400,11.77,20
"30402","Tulsa, OK (2)","01","General Practice",179900,11.68,20,257600,12.16,20
"30601","El Paso, TX-Las Cruces, NM (1)","01","General Practice",117000,11.48,40,148200,11.74,40
"31201","Austin-San Marcos, TX (1)","01","General Practice",961600,11.6,40,2344000,11.86,40
"31301","San Antonio, TX (1)","01","General Practice",97530,11.31,250,,,
"32000","Houston-Galveston-Texas City, TX","01","General Practice",168400,11.57,90,,,
"33000","Fort Worth-Arlington, TX","01","General Practice",161000,11.57,20,226400,11.98,20
"33100","Dallas, TX","01","General Practice",216100,11.78,50,341400,12.51,50
"33803","Oklahoma City, OK (3)","01","General Practice",315300,11.25,30,414700,11.94,30
"34701","Honolulu, HI (1)","01","General Practice",133800,11.48,70,166900,11.76,70
"34901","Albuquerque, NM (1)","01","General Practice",189600,11.44,30,,,
"35001","Phoenix-Mesa, AZ (1)","01","General Practice",308100,11.68,60,336500,11.88,60
"35100","Tucson, AZ","01","General Practice",171200,11.36,30,238800,12,30
"36100","Salt Lake City-Ogden, UT","01","General Practice",143100,11.18,20,182400,11.54,20
"37200","Fresno-Visalia-Tulare-Parterville, CA","01","General Practice",308400,12.27,20,337900,12.41,20
"37400","Sacramento, CA","01","General Practice",179600,11.71,60,234200,11.97,60
"37500","San Jose, CA","01","General Practice",217200,11.88,40,254500,12.15,40
"37800","San Francisco-Oakland, CA","01","General Practice",292200,11.69,100,332500,11.86,100
"37901","Las Vegas, NV-AZ (1)","01","General Practice",216700,12.06,30,245500,12.19,30
"38000","San Diego, CA","01","General Practice",247900,11.63,150,315400,11.95,150
"38300","Los Angeles-Long Beach, CA","01","General Practice",298900,11.85,400,350300,12.03,400
"38801","Portland-Vancouver, OR-WA (1)","01","General Practice",166600,11.72,40,190500,11.24,40
"39400","Seattle-Tacoma-Olympia, WA","01","General Practice",161400,11.6,150,458700,11.99,150
"00302","Knoxville, TN-Middlesborough, KY (2)","02","General Surgery",388200,12.6,70,411800,12.67,70
"00500","Danville, VA","02","General Surgery",329300,12.51,60,367600,12.69,60
"00900","Charlotte, NC","02","General Surgery",398500,12.64,150,436100,12.67,150
"01302","Florence-Myrtle Beach, SC (2)","02","General Surgery",397000,12.6,50,452800,12.8,50
"01400","Fayetteville, NC","02","General Surgery",322100,12.51,60,,,
"01701","Raleigh-Durham-Chapel Hill, NC (1)","02","General Surgery",403300,12.67,200,453600,12.8,200
"01900","Greenville-Jacksonville, NC","02","General Surgery",338300,12.4,80,,,
"02000","Norfolk-Virginia Beach-Newport News, VA-NC","02","General Surgery",336000,12.45,90,378200,12.51,90
"02400","Richmond-Petersburg, VA","02","General Surgery",369000,12.58,100,450500,12.79,100
"03300","New Orleans, LA","02","General Surgery",447200,12.5,150,547800,12.74,150
"03500","Baton Rouge, LA","02","General Surgery",424400,12.77,50,492100,12.96,50
"04200","Little Rock-North Little Rock, AR","02","General Surgery",385200,12.63,80,418800,12.7,80
"05202","Memphis, TN-AR-MS (2)","02","General Surgery",404300,12.67,90,,,
"05600","Nashville, TN","02","General Surgery",384700,12.56,200,432000,12.67,200
"06000","Decatur-Huntsville, AL","02","General Surgery",427800,12.8,40,420000,12.38,40
"06700","Tampa-St. Petersburg-Clearwater, FL","02","General Surgery",391900,12.49,250,432700,12.59,250
"06800","Lakeland-Winter Haven, FL","02","General Surgery",413100,12.83,30,492900,13.05,30
"06900","Punta Gorda-Sarasota-Bradenton, FL","02","General Surgery",436300,12.78,70,491100,12.9,70
"07000","Fort Lauderdale-Miami, FL","02","General Surgery",373100,12.37,350,,,
"07100","Fort Pierce-West Palm Beach-Boca Raton, FL","02","General Surgery",396900,12.44,150,458400,12.64,150
"07200","Fort Myers-Cape Coral-Naples, FL","02","General Surgery",465400,12.79,70,542000,12.96,70
"07300","Melbourne-Titusville-Palm Bay, FL","02","General Surgery",486700,12.89,50,548200,13,50
"07400","Orlando, FL","02","General Surgery",418000,12.56,200,472700,12.69,200
"07500","Daytona Beach, FL","02","General Surgery",264300,12.19,40,280600,12.28,40
"07600","Jacksonville, FL","02","General Surgery",441000,12.66,100,513300,12.84,100
"08100","Columbia, SC","02","General Surgery",441100,12.6,70,482300,12.71,70
"08202","Charleston-North Charleston, SC (2)","02","General Surgery",352100,12.37,100,396200,12.52,100
"08300","Greenville, SC","02","General Surgery",336000,12.36,100,407800,12.67,100
"09100","Atlanta, GA","02","General Surgery",418200,12.52,400,,,
"10700","Birmingham, AL","02","General Surgery",367500,12.57,100,424700,12.72,100
"10900","Fort Walton Beach-Pensacola, FL","02","General Surgery",379300,12.67,60,436200,12.85,60
"11001","Mobile, AL (1)","02","General Surgery",350700,12.56,40,396800,12.67,40
"11302","Baltimore, MD-Washington, DC-MD-VA-WV (2)","02","General Surgery",355900,12.48,350,443800,12.73,350
"11304","Baltimore, MD-Washington, DC-MD-VA-WV (4)","02","General Surgery",385000,12.47,450,,,
"11600","Detroit-Flint, MI","02","General Surgery",319000,12.16,550,372100,12.34,550
"12200","Grand Rapids-Muskegon-Holland, MI","02","General Surgery",335000,12.38,150,380900,12.52,150
"12501","Dayton-Springfield, OH (1)","02","General Surgery",406500,12.65,90,426800,12.68,90
"12701","Hamilton-Middletown, OH-Cincinnati, OH-KY-IN (1)","02","General Surgery",406600,12.63,150,459000,12.79,150
"13101","Louisville, KY-IN (1)","02","General Surgery",417500,12.7,100,450800,12.77,100
"13501","Toledo, OH (1)","02","General Surgery",407900,12.64,70,,,
"13600","Benton Harbor, MI-South Bend, IN","02","General Surgery",365000,12.48,40,391600,12.52,40
"14200","Indianapolis, IN","02","General Surgery",430600,12.64,200,500100,12.83,200
"14900","Gary, IN","02","General Surgery",422400,12.84,30,499400,13.02,30
"15000","Canton-Massillon, OH","02","General Surgery",349400,12.29,30,418900,12.78,30
"15200","Akron, OH","02","General Surgery",355400,12.46,300,410500,12.61,300
"15900","Columbus, OH","02","General Surgery",406000,12.65,200,462500,12.79,200
"16300","Pittsburgh, PA","02","General Surgery",334100,12.46,250,394700,12.63,250
"16400","Youngstown-Warren, OH-Sharon, PA","02","General Surgery",383300,12.62,50,425200,12.74,50
"16500","Erie, PA-Jamestown, NY","02","General Surgery",409300,12.82,40,474400,12.94,40
"17700","Syracuse-Utica-Rome, NY","02","General Surgery",387900,12.67,80,434700,12.79,80
"18000","Buffalo-Niagara Falls-Rochester, NY","02","General Surgery",361000,12.44,200,,,
"18600","Glens Falls, NY","02","General Surgery",336400,12.48,80,387700,12.68,80
"18800","Newburgh, NY-PA-Scranton-Wilkes-Barre-Hazleton, PA","02","General Surgery",358000,12.54,80,,,
"19000","Allentown-Bethlehem-Easton, PA","02","General Surgery",359100,12.43,100,428900,12.63,100
"19100","Lancaster-Reading-Harrisburg-Lebanon-Carlisle, PA","02","General Surgery",395500,12.54,80,467000,12.84,80
"19200","York, PA","02","General Surgery",324500,12.34,150,387900,12.54,150
"19300","Dutchess County, NY","02","General Surgery",337400,12.44,50,388700,12.67,50
"19400","New York-Nassau-Suffolk, NY","02","General Surgery",442200,12.44,950,,,
"19500","Monmouth-Ocean, NJ","02","General Surgery",710700,13,90,748400,13.01,90
"19600","Newark-Trenton, NJ","02","General Surgery",490700,12.66,450,,,
"19700","Philadelphia, PA-NJ-Vineland-Millville-Bridgeton, NJ","02","General Surgery",332600,12.33,700,410200,12.55,700
"19800","Wilmington-Newark, DE-MD","02","General Surgery",341300,12.56,40,386500,12.69,40
"20100","Portland-Lewiston-Auburn, ME","02","General Surgery",369000,12.53,100,,,
"20401","Boston-Worcester-Lowell, MA-NH-Providence, RI (1)","02","General Surgery",307200,12.29,100,366900,12.45,100
"20500","Barnstable-Yarmouth, MA","02","General Surgery",370400,12.45,650,456900,12.7,650
"20600","Manchester, NH","02","General Surgery",419900,12.77,90,480900,12.93,90
"20800","Springfield, MA","02","General Surgery",402200,12.66,50,460700,12.81,50
"20901","Hartford-New Haven-Bridgeport-Stamford, CT (1)","02","General Surgery",481300,12.78,300,654800,12.99,300
"21501","Minneapolis-St. Paul, MN-WI (1)","02","General Surgery",468700,12.66,250,528300,12.82,250
"22500","Appleton-Oshkosh-Neenah, WI","02","General Surgery",631700,13.13,50,695500,13.27,50
"23100","Madison, WI","02","General Surgery",329700,12.3,100,388700,12.5,100
"24000","Kenosha-Racine-Janesville-Beloit, WI","02","General Surgery",394600,12.33,30,507500,12.93,30
"24100","Milwaukee-Waukesha, WI","02","General Surgery",437200,12.77,150,494300,12.89,150
"24300","Chicago, IL","02","General Surgery",370100,12.39,700,438300,12.56,700
"24400","Rockford, IL","02","General Surgery",395700,12.63,40,440800,12.83,40
"24701","St. Louis, MO-IL (1)","02","General Surgery",370800,12.38,250,440500,12.66,250
"27501","Des Moines, IA (1)","02","General Surgery",395400,12.55,70,441500,12.59,70
"28202","Omaha, NE-IA (2)","02","General Surgery",338100,12.28,100,388400,12.47,100
"28401","Colorado Springs, CO (1)","02","General Surgery",418600,12.55,60,480500,12.75,60
"28800","Fort Collins-Loveland, CO","02","General Surgery",407400,12.79,40,458500,12.88,40
"28900","Denver-Boulder-Longmont, CO","02","General Surgery",356600,12.44,300,439100,12.7,300
"29301","Wichita, KS (1)","02","General Surgery",395100,12.36,60,428900,12.59,60
"29502","Kansas City, MO-KS (2)","02","General Surgery",395400,12.57,200,436500,12.64,200
"30402","Tulsa, OK (2)","02","General Surgery",425000,12.74,90,469400,12.88,90
"30601","El Paso, TX-Las Cruces, NM (1)","02","General Surgery",295900,12.25,70,,,
"31201","Austin-San Marcos, TX (1)","02","General Surgery",437400,12.59,150,494800,12.58,150
"31301","San Antonio, TX (1)","02","General Surgery",350100,12.41,200,435000,12.68,200
"31600","Brownsville-Harlingen-San Benito, TX","02","General Surgery",397100,12.56,60,420600,12.55,60
"32000","Houston-Galveston-Texas City, TX","02","General Surgery",400000,12.38,550,,,
"33000","Fort Worth-Arlington, TX","02","General Surgery",468400,12.71,150,504100,12.8,150
"33100","Dallas, TX","02","General Surgery",506600,12.63,350,590200,12.84,350
"33803","Oklahoma City, OK (3)","02","General Surgery",404500,12.56,100,452800,12.72,100
"34701","Honolulu, HI (1)","02","General Surgery",331000,12.5,70,387100,12.7,70
"34901","Albuquerque, NM (1)","02","General Surgery",294700,12.38,90,,,
"35001","Phoenix-Mesa, AZ (1)","02","General Surgery",435000,12.59,400,491300,12.72,400
"35100","Tucson, AZ","02","General Surgery",299200,12.15,100,376100,12.38,100
"35801","Boise City, ID (1)","02","General Surgery",425600,12.54,60,467100,12.8,60
"36000","Provo-Orem, UT","02","General Surgery",889800,13.13,20,909500,13.15,20
"36100","Salt Lake City-Ogden, UT","02","General Surgery",461100,12.78,150,521200,12.94,150
"37000","Modesto-Merced, CA","02","General Surgery",411500,12.84,30,464000,12.96,30
"37100","Bakersfield, CA","02","General Surgery",321700,12.44,30,353300,12.4,30
"37200","Fresno-Visalia-Tulare-Parterville, CA","02","General Surgery",397700,12.37,80,458100,12.78,80
"37400","Sacramento, CA","02","General Surgery",373900,12.59,200,434200,12.7,200
"37500","San Jose, CA","02","General Surgery",457000,12.69,150,583300,12.93,150
"37700","Santa Rosa, CA","02","General Surgery",440300,12.74,40,496900,12.93,40
"37800","San Francisco-Oakland, CA","02","General Surgery",424500,12.71,500,531200,12.95,500
"37901","Las Vegas, NV-AZ (1)","02","General Surgery",398400,12.51,150,,,
"38000","San Diego, CA","02","General Surgery",384300,12.56,250,463200,12.74,250
"38200","Santa Barbara-Santa Maria-Lompoc, CA","02","General Surgery",471700,12.81,40,544600,12.99,40
"38300","Los Angeles-Long Beach, CA","02","General Surgery",411800,12.48,1100,472400,12.66,1100
"38601","Spokane, WA (1)","02","General Surgery",408700,12.76,70,482800,12.81,70
"38801","Portland-Vancouver, OR-WA (1)","02","General Surgery",372400,12.54,250,455900,12.81,250
"38901","Salem-Eugene-Springfield, OR (1)","02","General Surgery",373500,12.54,80,439800,12.71,80
"39400","Seattle-Tacoma-Olympia, WA","02","General Surgery",374600,12.55,400,469100,12.77,400
"00900","Charlotte, NC","03","Allergy/ Immunology",504800,12.86,30,640300,13.22,30
"01701","Raleigh-Durham-Chapel Hill, NC (1)","03","Allergy/ Immunology",458200,12.66,30,521700,12.8,30
"03300","New Orleans, LA","03","Allergy/ Immunology",248500,12.13,20,353500,12.53,20
"05600","Nashville, TN","03","Allergy/ Immunology",340100,12.39,30,415200,12.6,30
"06700","Tampa-St. Petersburg-Clearwater, FL","03","Allergy/ Immunology",299800,12.11,40,430500,12.52,40
"07000","Fort Lauderdale-Miami, FL","03","Allergy/ Immunology",317200,12.34,50,361500,12.44,50
